"demoID","sipasID","username","subjectID","study_ID","school","sequence_order","demo_datetime","responseID","condition_value","response_iter","response_text","Resp_tot","Mental_terms_tot","Ment_stat_just_tot","Com_first_resp","response_datetime","lagtime_ms","accessCode","itemID","userID","sesID","dreamID","startDate","endDate","participantID","X"
463,133174,"3208",NA,"12SPlizzie","noSchool","DHFEBCAG","6/7/18 12:37",4167,"A",2,"peter didn't want his aunt to be hurt by his opinion and he didn't want her to get mad at whatever he would've said.",1,"4",1,1,"6/7/18 12:48",1518,"FASCPILOT2",1976,16629,"rqoraj8a3oh6v5k356ek31khs3","pub_ZeOLqQuVHS","6/7/18 12:37","6/7/18 12:37","3208",1
435,133121,"3116",NA,"12SPlizzie","noSchool","ADCEGBHF","6/6/18 10:15",3771,"A",1,"Peter lies about her hat being very nice. In fact he thinks it is a ugly and terrible hat. He lies because he doesn't want to hurt his Aunts feelings towards her personally and towards the hat.",1,"5",1,1,"6/6/18 10:18",1616,"FASCPILOT2",1976,16251,"v3n30ncedbeqaclhvo1ejoj6l5","pub_1CIi0-1jaJ","6/6/18 10:15","6/6/18 10:15","3116",NA
429,133115,"3120",NA,"12SPlizzie","noSchool","DAEHBFGC","6/6/18 10:12",3764,"A",1,"Peter tells Aunt Jane that he likes her hat but he really doesn't. Although he didn't mean it, he didn't want to hurt his aun's feelings.",1,"4",1,1,"6/6/18 10:16",1683,"FASCPILOT2",1976,16244,"ouvdcskpa7a95al1io1l8fi3q1","pub_r2g~nfPUq-","6/6/18 10:12","6/6/18 10:12","3120",NA
448,133138,"3112",NA,"12SPlizzie","noSchool","DBHECAGF","6/6/18 12:53",3945,"A",1,"Peter probably didn't want to hurt his aunt's feelings",1,"2",1,1,"6/6/18 13:00",1172,"FASCPILOT2",1976,16419,"tmdla8cakh4fp01mrng9cgk6s1","pub_TRrkcAV5tw","6/6/18 12:52","6/6/18 12:53","3112",1
422,133052,"3001",NA,"12SPlizzie","noSchool","CBDHGAEF","6/4/18 11:57",3708,"A",1,"Peter lies about liking her hat because he doesn't want to hurt her feelings.",1,"4",1,1,"6/4/18 12:06",6978,"FASCPILOT2",1976,16081,"656agm2d5ftef1r4pa36gsfbn6","pub_BAxLs34pY1","6/4/18 11:57","6/4/18 11:57","3001",NA
470,133181,"3202",NA,"12SPlizzie","noSchool","HBAFEGCD","6/7/18 12:37",4074,"A",1,NA,NA,NA,NA,NA,"6/7/18 12:40",2171,"FASCPILOT2",1976,16628,"kumlkotdvetn92v8as1ke5b3l1","pub_CS-0CJ5tsU","6/7/18 12:37","6/7/18 12:37","3202",NA
389,132764,"2907",NA,"12SPlizzie","noSchool","AEGDBFHC","5/23/18 11:21",3391,"A",1,"Peter does that so he doesn't sound mean. H probably doesnt want to hurt his aunts feelings",1,"3",1,1,"5/23/18 11:22",1923,"FASCPILOT2",1976,15780,"g4nts3jek8bpcj2qfc8m6o2j34","pub_T00as@6KHd","5/23/18 11:21","5/23/18 11:21","2907",NA
339,120875,"2215",NA,"12SPlizzie","noSchool","BHFGACDE","12/8/17 12:31",2948,"A",1,"Because he doesn't want to be rude.",1,"2",1,1,"12/8/17 12:38",1381,"FASCPILOT2",1976,14238,"gebhk9jjd6g8gv9at7itb1f2m0","pub_CqP5XJtq2c","12/8/17 12:30","12/8/17 12:31","2215",NA
460,133170,"3218",NA,"12SPlizzie","noSchool","GCAFDBEH","6/7/18 11:20",4038,"A",1,"he doent want o be mean",1,"2",1,1,"6/7/18 11:24",2139,"FASCPILOT2",1976,16588,"76epsmgvnjpev7j032dnmdurq2","pub_PxYC97HEDu","6/7/18 11:20","6/7/18 11:20","3218",1
462,133173,"3207",NA,"12SPlizzie","noSchool","HFBEDGAC","6/7/18 12:36",4172,"A",1,"Patty was talking to Peter about Aunt Jane's new hat and that it looked ugly. So, when Aunt Jane come back, Peter doesn't want to hurt her feelings so he lied.",1,"3",1,1,"6/7/18 12:48",1629,"FASCPILOT2",1976,16621,"0fg3ugfqo9212sfof15n76hnh2","pub_gcSyG60Ik_","6/7/18 12:36","6/7/18 12:36","3207",NA
